"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Cavin Gray;Actor, Miscellaneous Crew, Animation Department;NA;NA;NA
Bo Jacober;Actor;NA;NA;NA
Franck Khalfoun;Director, Actor, Writer;NA;NA;NA
Genevieve Alexandra;Actress;NA;NA;NA
Devra Korwin;Actress;NA;NA;NA
Nick Magee;Actor, Costume Department;NA;NA;NA
Gianna Michaels;Actress;1983-06-06;USA;NA
Bonnie Morgan;Actress, Stunts, Set Decorator;NA;NA;NA
Greg Nicotero;Make Up Department, Special Effects, Producer;1963-03-15;USA;NA
Tim Bishop;Actor;NA;NA;NA
Carmen Prisco;Actor;NA;NA;NA
Maarsen Roney;Actor;NA;NA;NA
Jason Spisak;Actor, Producer, Camera Department;1973-08-29;NA;NA
George Clooney;Actor, Producer, Director;1961-05-06;USA;NA
Jennifer Lopez;Actress, Soundtrack, Producer;1969-07-24;USA;NA
Jim Robinson;Actor;NA;NA;NA
Mike Malone;Art Department, Miscellaneous Crew, Actor;NA;NA;NA
Ving Rhames;Actor, Producer, Writer;1959-05-12;USA;NA
Don Cheadle;Actor, Producer, Director;1964-11-29;USA;NA
Donna Frenzel;Actress, Miscellaneous Crew;1971-05-03;USA;NA
Catherine Keener;Actress, Producer, Casting Department;1959-03-23;USA;NA
Manny Suárez;Actor, Producer;1963-03-16;Cuba;2008-05-03
Dennis Farina;Actor, Producer, Soundtrack;1944-02-29;USA;2013-07-22
Keith Hudson;Actor, Producer;NA;NA;NA
Steve Zahn;Actor, Soundtrack;1967-11-13;USA;NA
Albert Brooks;Actor, Writer, Director;1947-07-22;USA;NA
Luis Guzmán;Actor, Producer;1956-08-28;Puerto Rico;NA
Paul Soileau;Actor, Writer;NA;USA;NA
Isaiah Washington;Actor, Producer;1963-08-03;USA;NA
Scott Allen;Actor;NA;NA;NA
Susan Hatfield;Actress;NA;NA;NA
Brad Martin;Stunts, Actor, Assistant Director;1970-01-14;USA;NA
James Black;Actor, Producer, Director;1962-04-03;USA;NA
Wendell B. Harris Jr.;Actor, Director, Writer;1954-03-05;USA;NA
Chuck Castleberry;Actor, Producer;NA;NA;NA
Chic Daniel;Miscellaneous Crew, Actor, Producer;NA;NA;NA
Connie Sawyer;Actress;1912-11-27;USA;NA
Philip Perlman;Actor, Camera Department;1919-08-15;USA;NA
Al Pacino;Actor, Director, Producer;1940-04-25;USA;NA
John Randolph;Actor;1915-06-01;USA;2004-02-24
Jack Kehoe;Actor;1938-11-21;USA;NA
Biff McGuire;Actor, Writer;1926-10-25;USA;NA
Barbara Eda-Young;Actress;1945-01-30;USA;NA
Cornelia Sharpe;Actress;1943-10-18;USA;NA
Tony Roberts;Actor, Soundtrack;1939-10-22;USA;NA
John Medici;Actor;1938-01-04;USA;NA
Allan Rich;Actor, Soundtrack, Director;1926-02-08;USA;NA
Norman Ornellas;Actor;1939-05-20;USA;1975-05-31
Edward Grover;Actor;1932-10-23;USA;NA
Albert Henderson;Actor;1915-01-29;USA;2004-01-17
Hank Garrett;Actor, Producer, Writer;1931-10-26;USA;NA
Damien Leake;Actor;NA;NA;NA
Joseph Bova;Actor, Soundtrack, Miscellaneous Crew;1924-05-25;USA;2006-03-12
Gene Gross;Actor;1920-02-17;USA;1989-05-21
John Stewart;Stunts, Director, Actor;NA;NA;NA
Woodie King Jr.;Actor, Director, Producer;1937-07-27;USA;NA
James Tolkan;Actor, Director;1931-06-20;USA;NA
Ed Crowley;Actor;1926-09-05;USA;2013-03-11
Bernard Barrow;Actor;1927-12-30;USA;1993-08-04
Sal Carollo;Actor;1916-09-20;USA;2008-03-14
Mildred Clinton;Actress;1914-11-02;USA;2010-12-18
Nathan George;Actor;NA;NA;NA
Gus Fleming;Actor;NA;NA;NA
Richard Foronjy;Actor;1937-08-03;USA;NA
Alan North;Actor;1920-12-23;USA;2000-01-19
Lewis J. Stadlen;Actor, Soundtrack;1947-03-07;USA;NA
John McQuade;Actor;1912-07-09;USA;1979-09-21
Ted Beniades;Actor;1922-11-17;USA;2014-10-24
John Lehne;Actor;1925-10-27;USA;2007-07-06
M. Emmet Walsh;Actor, Soundtrack, Stunts;1935-03-22;USA;NA
