"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Michelan Sisti;Actor, Miscellaneous Crew, Producer;1949-05-27;Puerto Rico;NA
Robbie Rist;Actor, Soundtrack, Music Department;1964-04-04;USA;NA
Kevin Clash;Actor, Producer, Director;1960-09-17;USA;NA
James Saito;Actor;1955-03-06;USA;NA
David McCharen;Actor, Miscellaneous Crew;NA;NA;NA
Sam Rockwell;Actor, Producer, Director;1968-11-05;USA;NA
Toshishiro Obata;Actor, Miscellaneous Crew;1948-10-20;Japan;NA
Michael McConnohie;Actor, Writer, Miscellaneous Crew;1951-07-23;USA;NA
Michael Turney;Director, Actor, Writer;1974-10-11;USA;NA
Jay Patterson;Actor;1954-08-22;USA;NA
Raymond Serra;Actor, Miscellaneous Crew;1936-08-13;USA;2003-06-20
Kitty Fitzgibbon;Actress;NA;NA;NA
Louis Cantarini;Actor;NA;NA;NA
Joe D'Onofrio;Actor;NA;NA;NA
George Clooney;Actor, Producer, Director;1961-05-06;USA;NA
Natascha McElhone;Actress, Soundtrack;1969-12-14;UK;NA
Viola Davis;Actress, Producer, Soundtrack;1965-08-11;USA;NA
Jeremy Davies;Actor;1969-10-08;USA;NA
Ulrich Tukur;Actor, Soundtrack, Writer;1957-07-29;Germany;NA
John Cho;Actor, Soundtrack;1972-06-16;South Korea;NA
Morgan Rusler;Actor, Art Department, Set Decorator;NA;NA;NA
Shane Skelton;Actor;NA;NA;NA
Donna Kimball;Actress, Miscellaneous Crew, Soundtrack;NA;NA;NA
Michael Ensign;Actor;1944-02-13;USA;NA
Elpidia Carrillo;Actress, Director, Writer;1961-08-16;Mexico;NA
Kent Faulcon;Actor, Director, Writer;1971;NA;NA
Lauren Cohn;Actress, Casting Department;NA;USA;NA
Tony Clemons;Actor;1966-01-04;USA;NA
Jennie Baek;Actress, Producer, Costume Designer;NA;NA;NA
Annie Morgan;Actress, Miscellaneous Crew;NA;USA;NA
Antonio Rochira;Actor, Cinematographer, Camera Department;NA;NA;NA
Jude S. Walko;Actor, Producer, Miscellaneous Crew;1972-07-17;USA;NA
Kirsten Dunst;Actress, Soundtrack, Director;1982-04-30;USA;NA
Eliza Dushku;Actress, Producer, Director;1980-12-30;USA;NA
Jesse Bradford;Actor, Director, Producer;1979-05-28;USA;NA
Gabrielle Union;Actress, Producer, Soundtrack;1972-10-29;USA;NA
Clare Kramer;Producer, Actress, Writer;1974-09-03;USA;NA
Nicole Bilderback;Actress, Writer, Producer;1975-06-10;South Korea;NA
Tsianina Joelson;Actress;1975-01-16;USA;NA
Honorine Bell;Actress;1981-03-21;Italy;NA
Nathan West;Actor, Producer, Soundtrack;1978-09-29;USA;NA
Huntley Ritter;Actor, Producer, Writer;1977-01-20;USA;NA
Shamari Fears;Actress, Soundtrack;1980-02-22;USA;NA
Natina Reed;Actress;1979-10-28;USA;2012-10-26
Brandi Williams;Soundtrack, Actress;1982-10-05;USA;NA
Richard Hillman;Actor, Writer, Producer;1974-12-13;USA;2009-06-27
Lindsay Sloane;Actress, Soundtrack;1977-08-08;USA;NA
Bianca Kajlich;Actress, Producer, Soundtrack;1977-03-26;USA;NA
Holmes Osborne;Actor;1947-11-07;USA;NA
Sherry Hursey;Actress, Miscellaneous Crew, Writer;NA;NA;NA
Cody McMains;Actor;1985-10-04;USA;NA
Ian Roberts;Actor, Writer, Producer;1965-07-29;USA;NA
David E. Taylor;Actor, Producer;NA;NA;NA
Ashley Howard;Actor;NA;NA;NA
Nikole Lee Amateau;Actress;1972-11-07;NA;NA
Clementine Ford;Actress;1979-06-29;USA;NA
Grant Thompson;Producer, Actor, Writer;1976-07-23;USA;NA
Leonard Clifton;Actor;NA;NA;NA
Marie Cole;Actress;1977-12-17;USA;NA
Dru Mouser;Actress;1971-01-18;USA;NA
Tracy Pacheco;Actress;1977-05-23;USA;NA
Alicia Michelle Sassano;Actress;NA;NA;NA
Sean Penn;Actor, Producer, Director;1960-08-17;USA;NA
Jennifer Jason Leigh;Actress, Producer, Writer;1962-02-05;USA;NA
Judge Reinhold;Actor, Soundtrack, Producer;1957-05-21;USA;NA
Robert Romanus;Actor, Soundtrack;1956-07-17;USA;NA
Brian Backer;Actor;1956-12-05;USA;NA
Phoebe Cates;Actress, Soundtrack;1963-07-16;USA;NA
Ray Walston;Actor, Soundtrack;1914-12-02;USA;2001-01-01
Scott Thomson;Actor;1957-10-29;NA;NA
Vincent Schiavelli;Actor;1948-11-11;USA;2005-12-26
Amanda Wyss;Actress;1960-11-24;USA;NA
D.W. Brown;Actor, Director, Writer;1961-06-30;USA;NA
Forest Whitaker;Actor, Producer, Director;1961-07-15;USA;NA
Kelli Maroney;Actress, Producer;1960-12-30;USA;NA
Tom Nolan;Actor;NA;USA;NA
Blair Tefkin;Actress, Soundtrack;1959-12-09;USA;NA
Eric Stoltz;Actor, Director, Producer;1961-09-30;USA;NA
Stanley Davis Jr.;Actor;1967-03-06;USA;NA
James Russo;Actor, Writer, Producer;1953-04-23;USA;NA
James Bolt;Actor;NA;NA;NA
Nicolas Cage;Actor, Producer, Soundtrack;1964-01-07;USA;NA
Reginald Farmer;Actor;1934-02-04;USA;2008-03-22
Anthony Edwards;Actor, Producer, Director;1962-07-19;USA;NA
Pamela Springsteen;Actress, Camera Department, Miscellaneous Crew;1962-02-08;USA;NA
Stuart Cornfeld;Producer, Actor, Miscellaneous Crew;1952-11-13;NA;NA
Sonny Carl Davis;Actor, Casting Department, Casting Director;NA;NA;NA
Michael Wyle;Actor;NA;NA;NA
David Price;Director, Actor, Producer;1961-11-17;USA;NA
Patrick Brennan;Actor;NA;NA;NA
Julie Guilmette;Actress;NA;NA;NA
Shelly O'Neill;Actress, Soundtrack;NA;NA;NA
Anna Kendrick;Actress, Soundtrack, Music Department;1985-08-09;USA;NA
Daniel Huttlestone;Actor, Soundtrack;1999-09-17;UK;NA
James Corden;Actor, Writer, Producer;1978-08-22;UK;NA
Emily Blunt;Actress, Soundtrack, Miscellaneous Crew;1983-02-23;UK;NA
Christine Baranski;Actress, Soundtrack, Producer;1952-05-02;USA;NA
Tammy Blanchard;Actress, Soundtrack;1976-12-14;USA;NA
Lucy Punch;Actress, Soundtrack;1977-12-30;UK;NA
Tracey Ullman;Actress, Writer, Producer;1959-12-30;UK;NA
Lilla Crawford;Actress, Soundtrack;NA;NA;NA
Meryl Streep;Actress, Soundtrack, Producer;1949-06-22;USA;NA
Simon Russell Beale;Actor, Miscellaneous Crew;1961-01-12;Malaysia;NA
Joanna Riding;Actress, Soundtrack;1967-11-09;UK;NA
Johnny Depp;Actor, Producer, Soundtrack;1963-06-09;USA;NA
Billy Magnussen;Actor, Soundtrack;1985-04-20;NA;NA
Mackenzie Mauzy;Actress, Soundtrack;1988-10-14;USA;NA
Annette Crosbie;Actress, Soundtrack;1934-02-12;UK;NA
Chris Pine;Actor, Soundtrack, Writer;1980-08-26;USA;NA
Richard Glover;Actor;NA;NA;NA
Jennifer Garner;Actress, Producer, Soundtrack;1972-04-17;USA;NA
Goran Visnjic;Actor, Producer, Soundtrack;1972-09-09;Yugoslavia;NA
Kirsten Prout;Actress;1990-09-28;Canada;NA
Will Yun Lee;Actor;1971-03-22;USA;NA
Cary-Hiroyuki Tagawa;Actor, Producer, Miscellaneous Crew;1950-09-27;Japan;NA
Terence Stamp;Actor, Soundtrack, Director;1938-07-22;UK;NA
Natassia Malthe;Actress, Producer;1974-01-19;Norway;NA
Bob Sapp;Actor;1973-09-22;USA;NA
Chris Ackerman;Actor, Producer, Writer;1978-05-16;USA;NA
Edson T. Ribeiro;Stunts, Actor;NA;NA;NA
Colin Cunningham;Actor, Writer, Producer;1966-08-20;USA;NA
Hiro Kanagawa;Actor, Writer, Miscellaneous Crew;1963-10-13;Japan;NA
Mark Houghton;Actor, Producer, Director;NA;NA;NA
Laura Ward;Actress;NA;NA;NA
Kurt Max Runte;Actor;NA;NA;NA
Nathaniel Arcand;Actor;1971-11-13;Canada;NA
Aaron Au;Stunts, Actor, Producer;NA;NA;NA
Kevan Ohtsji;Actor;NA;NA;NA
Ian Tracey;Actor, Director, Soundtrack;1964-06-26;Canada;NA
Jana Mitsoula;Actress, Writer;NA;NA;NA
Sean Akira;Actor;NA;NA;NA
Taku Kawai;Actor;1979-03-23;Japan;NA
Kendall Cross;Actress, Miscellaneous Crew;NA;NA;NA
Ty Olsson;Actor;1974;Canada;NA
Nancy Wetzel;Actress, Stunts, Miscellaneous Crew;NA;USA;NA
Paul Wu;Stunts, Actor, Producer;NA;NA;NA
Marke Driesschen;Actor;NA;NA;NA
Billy Bryan;Special Effects, Miscellaneous Crew, Actor;NA;NA;NA
Jason Isaacs;Actor, Producer, Soundtrack;1963-06-06;UK;NA
Tom Woodruff Jr.;Special Effects, Make Up Department, Actor;1959;USA;NA
Owen Wilson;Actor, Producer, Writer;1968-11-18;USA;NA
Kate Hudson;Actress, Soundtrack, Producer;1979-04-19;USA;NA
Matt Dillon;Actor, Art Department, Director;1964-02-18;USA;NA
Michael Douglas;Actor, Producer, Soundtrack;1944-09-25;USA;NA
Seth Rogen;Actor, Writer, Producer;1982-04-15;Canada;NA
Amanda Detmer;Actress;1971-09-27;USA;NA
Ralph Ting;Actor;1992-01;NA;NA
Todd Stashwick;Actor, Director, Producer;1968-10-16;USA;NA
Bill Hader;Actor, Writer, Miscellaneous Crew;1978-06-07;USA;NA
Lance Armstrong;Actor, Miscellaneous Crew;1971-09-18;USA;NA
Jason Winer;Producer, Director, Actor;NA;NA;NA
Sidney S. Liufau;Actor, Stunts, Director;1963-11-22;USA;NA
Billy Gardell;Actor, Writer, Producer;1969-08-20;USA;NA
Eli Vargas;Actor, Soundtrack;NA;NA;NA
Houston Mack;Actor, Director, Writer;1989-12-10;USA;NA
Bob Larkin;Actor, Camera Department, Director;1929-03-09;USA;NA
Suzanne Ford;Actress, Soundtrack;1949-09-22;USA;NA
Claudia Choi;Actress, Writer, Producer;NA;NA;NA
Summer Altice;Actress;1979-12-23;USA;NA
Jeanine Hass;Actress;NA;NA;NA
Peter Ruocco;Actor, Director, Cinematographer;NA;NA;NA
Gozie Agbo;Actor;NA;NA;NA
Lance Irwin;Actor;1969-04-08;USA;NA
Fenessa Pineda;Actress;NA;NA;NA
Mario Revolori;Actor, Writer;1994-09-10;USA;NA
Jay Lembeck;Actor;NA;NA;NA
Dustin Hoffman;Actor, Producer, Soundtrack;1937-08-08;USA;NA
Robert De Niro;Actor, Producer, Director;1943-08-17;USA;NA
Anne Heche;Actress, Writer, Producer;1969-05-25;USA;NA
Denis Leary;Writer, Actor, Producer;1957-08-18;USA;NA
Willie Nelson;Soundtrack, Actor, Music Department;1933-04-30;USA;NA
Andrea Martin;Actress, Writer, Soundtrack;1947-01-15;USA;NA
Kirsten Dunst;Actress, Soundtrack, Director;1982-04-30;USA;NA
William H. Macy;Actor, Writer, Producer;1950-03-13;USA;NA
John Michael Higgins;Actor, Music Department, Soundtrack;1963-02-12;USA;NA
Suzie Plakson;Actress;1958-06-03;USA;NA
Woody Harrelson;Actor, Soundtrack, Producer;1961-07-23;USA;NA
Michael Belson;Actor;NA;NA;NA
Suzanne Cryer;Actress;1967-01-13;USA;NA
Jason Cottle;Miscellaneous Crew, Actor, Writer;1971;NA;NA
David Koechner;Actor, Writer, Soundtrack;1962-08-24;USA;NA
Harland Williams;Actor, Writer, Make Up Department;1962-11-14;Canada;NA
Sean Masterson;Actor, Miscellaneous Crew, Writer;NA;NA;NA
Bernard Hocke;Actor;NA;NA;NA
Jenna Byrne;Actress;1970-10-15;USA;NA
Maurice Woods;Actor;NA;NA;NA
Roebuck 'Pops' Staples;Soundtrack, Actor;1915-12-28;USA;2000-12-19
Phil Morris;Actor, Writer;1959-04-04;USA;NA
Chris Ellis;Actor;1956-04-14;USA;NA
Ed Morgan;Actor, Assistant Director, Producer;1926-12-31;USA;2013-01-27
J. Patrick McCormack;Actor;NA;NA;NA
Jennifer Manley;Actress, Writer, Camera Department;NA;Canada;NA
Edrie Warner;Actress;1933-04-07;NA;2000-02-02
Richard Lawson;Actor, Producer, Miscellaneous Crew;1947-03-07;USA;NA
Drena De Niro;Actress, Producer;1967-09-03;USA;NA
Alberto Vazquez;Actor, Stunts;1955-08-23;USA;NA
Stephanie Kemp;Actress, Producer, Miscellaneous Crew;NA;NA;NA
Jack Esformes;Actor;NA;NA;NA
Nicolas Cage;Actor, Producer, Soundtrack;1964-01-07;USA;NA
Maria Bello;Actress, Producer, Soundtrack;1967-04-18;USA;NA
Connor Paolo;Actor;1990-07-11;USA;NA
Anthony Piccininni;Actor;NA;NA;NA
Alexa Gerasimovich;Actress;2002-04-11;USA;NA
Morgan Flynn;Actress;1994-06-07;USA;NA
Michael Pena;Actor, Producer;1976-01-13;USA;NA
Armando Riesco;Actor, Writer, Miscellaneous Crew;1977-12-05;Puerto Rico;NA
Jay Hernandez;Actor;1978-02-20;USA;NA
Joe Starr;Actor, Writer, Composer;NA;NA;NA
Jon Bernthal;Actor, Animation Department;1977-09-20;USA;NA
William Jimeno;Actor, Writer;1967-11-26;Colombia;NA
Nick Damici;Actor, Writer, Producer;NA;NA;NA
Jude Ciccolella;Actor;1947;USA;NA
Martin Pfefferkorn;Actor;NA;NA;NA
Razame de la Crackers;Actor;1952-10-23;USA;NA
Nelson Pena;Actor, Producer, Miscellaneous Crew;NA;USA;NA
Marcos Palma;Actor;NA;NA;NA
Andre Ward;Actor;NA;NA;NA
Lisa Yuen;Actress;1972-01;USA;NA
Cliff Bemis;Actor;1948-05-21;USA;NA
Harmonica Sunbeam;Actor, Composer;NA;NA;NA
Ned Eisenberg;Actor;1957-01-13;USA;NA
Nicholas Turturro;Actor, Writer, Producer;1962-01-29;USA;NA
Danny Nucci;Actor;1968-09-15;Austria;NA
Tyree Michael Simpson;Actor, Stunts, Miscellaneous Crew;NA;NA;NA
Kevin Feely;Actor;NA;NA;NA
Mark Elliot Wilson;Actor;NA;NA;NA
Tawny Cypress;Actress;1976-08-08;USA;NA
Robert Blanche;Actor, Producer, Writer;NA;NA;NA
Tom Wright;Actor, Stunts, Producer;1952-11-29;USA;NA
Terry Quinn;Actor;NA;NA;NA
Ed Jewett;Actor;NA;NA;NA
Maggie Gyllenhaal;Actress, Soundtrack;1977-11-16;USA;NA
Maria Helan;Actress;NA;NA;NA
Brad William Henke;Actor, Writer, Producer;1966-04-10;USA;NA
Patti D'Arbanville;Actress;1951-05-25;USA;NA
Donna Murphy;Actress, Soundtrack;1959-03-07;USA;NA
Nicky Katt;Actor, Producer;1970-05-11;USA;NA
Lucia Brawley;Actress, Miscellaneous Crew;NA;NA;NA
Kimberly Scott;Actress;1961-12-11;USA;NA
Dara Coleman;Actor;NA;NA;NA
Glenn Close;Actress, Producer, Soundtrack;1947-03-19;USA;NA
Jeff Daniels;Actor, Soundtrack, Writer;1955-02-19;USA;NA
Joely Richardson;Actress;1965-01-09;UK;NA
Joan Plowright;Actress, Soundtrack;1929-10-28;UK;NA
Hugh Laurie;Actor, Producer, Writer;1959-06-11;UK;NA
Mark Williams;Actor, Writer, Visual Effects;1959-08-22;UK;NA
John Shrapnel;Actor;1942-04-27;UK;NA
Tim McInnerny;Actor;1956-09-18;UK;NA
Hugh Fraser;Actor;1950-10-07;UK;NA
Zohren Weiss;Actor;NA;NA;NA
Mark Haddigan;Actor;NA;NA;NA
Michael Percival;Actor;NA;NA;NA
Neville Phillips;Actor, Writer;1924-07-15;South Africa;NA
John Evans;Actor;NA;NA;NA
Hilda Braid;Actress, Soundtrack;1929-03-03;UK;2007-11-06
Margery Mason;Actress;1913-09-27;UK;2014-01-26
John Benfield;Actor;NA;NA;NA
Andrew Readman;Actor;NA;NA;NA
John Peters;Actor;NA;NA;NA
Bill Stewart;Actor;1942-12-07;UK;2006-08-29
Gerald Paris;Actor;NA;NA;NA
Joe Lacey;Miscellaneous Crew, Actor;NA;NA;NA
Brian Capron;Actor;1947-02-11;UK;NA
Frank Welker;Actor, Music Department, Soundtrack;1946-03-12;USA;NA
Harry Fielder;Actor, Stunts;1940-04-26;UK;NA
Arthur Mullard;Actor, Music Department, Soundtrack;1910-09-19;UK;1995-12-11
Laurence Richardson;Actor;1975-06-22;UK;NA
Glenn Webster;Actor, Producer, Miscellaneous Crew;NA;NA;NA
Roger Moore;Actor, Miscellaneous Crew, Producer;1927-10-14;UK;NA
Carole Bouquet;Actress, Director;1957-08-18;France;NA
Topol;Actor, Soundtrack, Producer;1935-09-09;Palestine [now Israel];NA
Lynn-Holly Johnson;Actress, Director;1958-12-13;USA;NA
Julian Glover;Actor;1935-03-27;UK;NA
Cassandra Harris;Actress;1948-12-15;Australia;1991-12-28
Jill Bennett;Actress, Writer;1931-12-24;Malaysia;1990-10-04
Michael Gothard;Actor;1939-06-24;UK;1992-12-02
John Wyman;Actor;NA;NA;NA
Jack Hedley;Actor;1930-10-28;UK;NA
Lois Maxwell;Actress;1927-02-14;Canada;2007-09-29
Desmond Llewelyn;Actor;1914-09-12;UK;1999-12-19
Geoffrey Keen;Actor;1916-08-21;UK;2005-11-03
Walter Gotell;Actor;1924-03-15;Germany;1997-05-05
James Villiers;Actor;1930-09-29;UK;1998-01-18
John Moreno;Actor, Soundtrack;1939;France;NA
Charles Dance;Actor, Director, Writer;1946-10-10;UK;NA
Paul Angelis;Actor, Writer;1943-01-18;UK;NA
Toby Robins;Actress;1931-03-13;Canada;1986-03-21
Jack Klaff;Actor, Writer;1951-08-06;South Africa;NA
Alkis Kritikos;Actor;1947-10-01;Cyprus;NA
Stag Theodore;Actor;NA;NA;NA
Stefan Kalipha;Actor;1940;West Indies;NA
Graham Crowden;Actor, Soundtrack;1922-11-30;UK;2010-10-19
Noel Johnson;Actor;1916-12-28;UK;1999-10-01
William Hoyland;Actor;1943;UK;NA
Paul Brooke;Actor;1944-11-22;UK;NA
Eva Reuber-Staier;Actress;1951;Austria;NA
Fred Bryant;Actor;NA;NA;NA
Robbin Young;Actress;NA;NA;NA
Graham Hawkes;Actor, Miscellaneous Crew;1947-12-23;NA;NA
John Wells;Actor, Writer, Soundtrack;1936-11-17;UK;1998-01-11
Judi Dench;Actress, Soundtrack, Director;1934-12-09;UK;NA
Tom Wilkinson;Actor, Soundtrack;1948-02-05;UK;NA
Patrick Pearson;Actor;1956-08-21;UK;NA
Hugh Dickson;Actor;NA;NA;NA
James Rawlings;Actor;NA;NA;NA
Bill Nighy;Actor, Soundtrack, Producer;1949-12-12;UK;NA
Penelope Wilton;Actress;1946-06-03;UK;NA
Maggie Smith;Actress, Soundtrack;1934-12-28;UK;NA
Liza Tarbuck;Actress, Writer;1964-11-21;UK;NA
Paul Bhattacharjee;Actor;1960-05-04;UK;2013-07-12
Lucy Robinson;Actress;NA;NA;NA
Ronald Pickup;Actor;1940-06-07;UK;NA
Celia Imrie;Actress;1952-07-15;UK;NA
Simon Wilson;Actor;NA;NA;NA
Sara Stewart;Actress;1966-06-28;UK;NA
Ramona Marquez;Actress, Soundtrack;2001-02-24;UK;NA
Raoul Marquez;Actor;NA;NA;NA
Glen Davies;Actor;NA;NA;NA
Jay Villiers;Actor;1961-09-23;UK;NA
Paul Bentall;Actor;1948-09;UK;NA
Louise Brealey;Actress, Writer, Producer;1979-03-27;UK;NA
Catherine Terris;Actress;NA;NA;NA
Richard Cubison;Actor;NA;NA;NA
Josh Cohen;Actor;NA;NA;NA
Josh Cole;Actor;NA;NA;NA
Dev Patel;Actor;1990-04-23;UK;NA
Bhuvnesh Shetty;Actor;NA;NA;NA
Molly Ringwald;Actress, Soundtrack, Music Department;1968-02-18;USA;NA
Justin Henry;Actor, Soundtrack;1971-05-25;USA;NA
Michael Schoeffling;Actor;1960-12-10;USA;NA
Haviland Morris;Actress;1959-09-14;USA;NA
Gedde Watanabe;Actor, Soundtrack;1955-06-26;USA;NA
Anthony Michael Hall;Actor, Producer, Soundtrack;1968-04-14;USA;NA
Paul Dooley;Actor, Writer, Producer;1928-02-22;USA;NA
Carlin Glynn;Actress, Editorial Department, Producer;1940-02-19;USA;NA
Blanche Baker;Actress, Writer, Producer;1956-12-20;USA;NA
Edward Andrews;Actor, Soundtrack;1914-10-09;USA;1985-03-08
Billie Bird;Actress;1908-02-28;USA;2002-11-27
Carole Cook;Actress, Soundtrack, Miscellaneous Crew;1924-01-14;USA;NA
Max Showalter;Actor, Soundtrack, Music Department;1917-06-02;USA;2000-07-30
Liane Curtis;Actress, Producer;1965-07-11;USA;NA
John Cusack;Actor, Producer, Writer;1966-06-28;USA;NA
Darren Harris;Actor;NA;NA;NA
Debbie Pollack;Actress;NA;NA;NA
Ross Berkson;Actor;NA;NA;NA
Jonathan Chapin;Actor, Miscellaneous Crew;NA;NA;NA
Joan Cusack;Actress, Soundtrack, Writer;1962-10-11;USA;NA
Brian Doyle-Murray;Actor, Writer, Producer;1945-10-31;USA;NA
Bekka Eaton;Actress;NA;NA;NA
Robert De Niro;Actor, Producer, Director;1943-08-17;USA;NA
Billy Crystal;Actor, Writer, Producer;1948-03-14;USA;NA
Lisa Kudrow;Actress, Writer, Producer;1963-07-30;USA;NA
Joe Viterelli;Actor;1937-03-10;USA;2004-01-28
Cathy Moriarty;Actress, Soundtrack;1960-11-29;USA;NA
Joey Diaz;Actor, Writer;NA;NA;NA
Jerome Le Page;Actor, Miscellaneous Crew;NA;NA;NA
Joseph Bono;Actor;NA;NA;NA
Brian Rogalski;Actor, Animation Department;1958-01-28;USA;2014-01-07
Thomas Rosales Jr.;Stunts, Actor;1948-02-03;USA;NA
Patrick Marcune;Actor;NA;NA;NA
John F. Gooding;Actor;NA;NA;NA
Henry Morales-Ballet;Actor;NA;NA;NA
Scott Dillin;Actor, Miscellaneous Crew;NA;NA;NA
Ted Neustadt;Actor, Writer;1954-05-28;USA;NA
Kyle Sabihy;Actor, Producer, Writer;1983-10-28;USA;NA
Rebecca Schull;Actress;1929-02-22;USA;NA
Joyce Brothers;Actress;1927-10-20;USA;2013-05-13
James Biberi;Actor, Director, Writer;1965-07-28;Yugoslavia;NA
Callie Thorne;Actress, Producer;1969-11-20;USA;NA
Firdous Bamji;Actor;1966-05-03;India;NA
John Finn;Actor, Director, Writer;1952-09-30;USA;NA
David Fonteno;Actor;NA;NA;NA
Donnamarie Recco;Actress, Music Department;NA;NA;NA
Sylvia Kauders;Actress;NA;NA;NA
Kendall Pettygrove;Actor;NA;NA;NA
Bea Super;Actress;NA;NA;NA
Pat Cooper;Actor;1929-07-31;USA;NA
Raymond Franza;Actor;NA;NA;NA
Steven Kampmann;Actor, Writer, Producer;1947-05-31;USA;NA
Susie Gilder Hayes;Actress;NA;NA;NA
Tom Papa;Writer, Actor, Producer;NA;NA;NA
Sunny Chae;Actress;NA;NA;NA
Ethan Hawke;Actor, Writer, Director;1970-11-06;USA;NA
Laurence Fishburne;Actor, Producer, Writer;1961-07-30;USA;NA
Gabriel Byrne;Actor, Producer, Writer;1950-05-12;Ireland;NA
Maria Bello;Actress, Producer, Soundtrack;1967-04-18;USA;NA
Drea de Matteo;Actress;1972-01-19;USA;NA
John Leguizamo;Actor, Writer, Producer;1964-07-22;Colombia;NA
Brian Dennehy;Actor, Producer, Director;1938-07-09;USA;NA
Ja Rule;Soundtrack, Actor, Composer;1976-02-29;USA;NA
Currie Graham;Actor;1967-02-26;Canada;NA
Aisha Hinds;Actress, Writer, Production Designer;1975-11-13;USA;NA
Matt Craven;Actor;1956-11-10;Canada;NA
Fulvio Cecere;Actor, Producer, Director;1960-03-11;Canada;NA
Peter Bryant;Actor, Writer;NA;NA;NA
Kim Coates;Actor, Producer;1958-02-21;Canada;NA
Hugh Dillon;Actor, Soundtrack, Producer;1963-05-31;Canada;NA
Tig Fong;Stunts, Actor, Assistant Director;NA;NA;NA
Jasmin Geljo;Actor, Director, Writer;1959-09-18;Sarajevo;NA
Jessica Greco;Actress, Miscellaneous Crew;NA;Canada;NA
Dorian Harewood;Actor, Soundtrack;1950-08-06;USA;NA
Tom Hardy;Actor, Producer;1977-09-15;UK;NA
Kelly Adams;Actress, Soundtrack;1979-10-16;UK;NA
Luing Andrews;Actor, Director, Stunts;NA;NA;NA
Katy Barker;Actress, Producer;NA;NA;NA
Gordon Brown;Actor;NA;NA;NA
Amanda Burton;Actress, Producer;1956-10-10;UK;NA
Mark Devenport;Actor, Director, Writer;NA;NA;NA
Paul Donnelly;Actor, Stunts;NA;NA;NA
Andrew Forbes;Actor, Writer;NA;NA;NA
Jon House;Actor;NA;NA;NA
Matt King;Actor, Writer, Producer;1968-01-31;UK;NA
James Lance;Actor, Writer, Producer;1975-09-29;UK;NA
Holly Lucas;Actress, Soundtrack;NA;NA;NA
Juliet Oldfield;Actress;NA;NA;NA
Jonny Phillips;Actor, Director, Writer;1963-09-05;UK;NA
Mark Powley;Actor;1963-10-04;UK;NA
Hugh Ross;Actor;NA;UK;NA
Andrew St. John;Actor;NA;NA;NA
Joe Tucker;Actor, Director, Writer;1966;UK;NA
Tracy Wiles;Actress;NA;NA;NA
Mark Fish;Actor;NA;NA;NA
Kalron Scott Busuttil;Actor;NA;NA;NA
Raphael Cilla;Actor;NA;NA;NA
Sam Cullingworth;Actor, Stunts, Producer;NA;NA;NA
Adryan Puicella;Actor;NA;NA;NA
D. Keye;Actor;NA;NA;NA
Peter D. Brammer;Actor;NA;NA;NA
Lee Alvey;Actor;NA;NA;NA
James McIntyne;Actor;NA;NA;NA
Sebastian Rodgers;Actor;NA;NA;NA
Rob Frost;Actor;NA;NA;NA
Wez Smith;Actor;NA;NA;NA
J.H. Bond;Actor;NA;NA;NA
Simon Field;Actor;NA;NA;NA
Peter Barry;Actor;NA;NA;NA
Alexander Jablonskas;Actor;NA;NA;NA
Roger Camden;Actor, Producer;NA;NA;NA
David Clayton;Actor;NA;NA;NA
Jason Whiteby;Actor;NA;NA;NA
Bob Brookes;Actor;NA;NA;NA
Anthony Oddy;Actor;NA;NA;NA
J. Keye;Actor;NA;NA;NA
Nick Stock;Actor;NA;NA;NA
Alan Hefferon;Actor;NA;NA;NA
David Jackson;Actor;NA;NA;NA
June Bladon;Actress;NA;NA;NA
Ian Kitch;Actor;NA;NA;NA
David Nixon;Actor;NA;NA;NA
Michael Gregory;Actor;NA;NA;NA
Matthew Meakin;Actor;NA;NA;NA
Matthew Bennett;Actor;NA;NA;NA
Dean Daly;Actor;1989-01-13;UK;NA
Alain Greaves;Actor;NA;NA;NA
Bob Gale;Writer, Director, Producer;1951-05-25;USA;NA
M. Shirra;Actor;NA;NA;NA
Lee Birkett;Actor;NA;NA;NA
Les Fitzakly;Actor;NA;NA;NA
Steven Smith;Actor;NA;NA;NA
Matt Mathew;Actor;NA;NA;NA
Christopher Smith;Actor;NA;NA;NA
Malcolm Scotten;Actor;NA;NA;NA
Phillip Sharpe;Actor;NA;NA;NA
R. Hools;Actor;NA;NA;NA
Martin Kay;Actor;NA;NA;NA
Adam Bacon;Actor, Writer;NA;NA;NA
Mark Shiran;Actor;NA;NA;NA
Ian Kitchenham;Actor;NA;NA;NA
Gary White;Actor;NA;NA;NA
Jimmy Ball;Actor;NA;NA;NA
Barry Lee;Actor;NA;NA;NA
Michael Nurse;Actor;NA;NA;NA
Kevin Rutter;Actor;NA;NA;NA
G.R.L. Horobin;Actor;NA;NA;NA
E.T. Harry;Actor;NA;NA;NA
Chris Thompson;Actor;NA;NA;NA
Charlton Heston;Actor, Director, Writer;1923-10-04;USA;2008-04-05
Janet Leigh;Actress, Soundtrack, Miscellaneous Crew;1927-07-06;USA;2004-10-03
Orson Welles;Actor, Writer, Director;1915-05-06;USA;1985-10-10
Joseph Calleia;Actor, Writer;1897-08-04;Malta;1975-10-31
Akim Tamiroff;Actor, Soundtrack;1899-10-29;Republic of Georgia];1972-09-17
