"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Besa Imami;Actress;1928-08-08;Kosova;2014-09-21
Marios Ioannou;Actor;NA;NA;NA
Ornela Kapetani;Actress;NA;NA;NA
Michirou Endo;Actor;1950-11-15;Japan;NA
Shigeru Izumiya;Actor, Writer, Composer;1948-05-11;Japan;NA
Takanori Jinnai;Actor, Director, Writer;1958-08-12;Japan;NA
Kou Machida;Actor, Soundtrack, Writer;1962-01-15;Japan;NA
Shigeru Muroi;Actress;1960-10-22;Japan;NA
Shinya Ohe;Actor;1958-09-30;Japan;NA
Yasuto Sugawara;Actor;NA;NA;NA
Jugatsu Toi;Actor, Writer, Director;NA;NA;2013-07-28
Umanosuke Ueda;Actor;1940-06-20;Japan;2011-12-21
Mayumi Ômura;Actress;NA;NA;NA
Norman Wisdom;Actor, Soundtrack, Writer;1915-02-04;UK;2010-10-04
Derek Bond;Actor, Writer, Miscellaneous Crew;1920-01-26;UK;2006-10-15
Angela Browne;Actress;1938-06-14;UK;2001-06-20
Tracey Crisp;Actress;1944;UK;NA
Allan Cuthbertson;Actor;1920-04-07;Australia;1988-02-08
Noel Dyson;Actress;1916-12-23;UK;1995-06-29
Derek Francis;Actor;1923-11-07;UK;1984-03-27
Peter Jones;Actor, Writer, Miscellaneous Crew;1920-06-12;UK;2000-04-10
David Lodge;Actor;1921-08-19;UK;2003-10-18
Stanley Unwin;Actor, Soundtrack;1911-06-07;South Africa;2002-01-12
Frances White;Actress, Miscellaneous Crew;1938-11-01;UK;NA
Michael Balfour;Actor;1918-02-11;UK;1997-10-24
Tony Selby;Actor, Soundtrack;1938-02-26;UK;NA
Michael Bilton;Actor, Soundtrack;1919-12-14;UK;1993-11-05
Norman Pitt;Actor;NA;NA;NA
Hazel Coppen;Actress;1924;NA;1975-04-08
Totti Truman Taylor;Actress;1915-09-07;UK;1981-03-05
Toni Gilpin;Actress;NA;NA;NA
Gordon Rollings;Actor;1926-04-17;UK;1985-06-07
Carmen Dene;Actress;1944-12;UK;NA
Rosemary Donnelly;Actress;NA;NA;NA
Joanna Ford;Actress;NA;NA;NA
Imogen Hassall;Actress;1942-08-25;UK;1980-11-16
Helen Mirren;Actress, Producer, Director;1945-07-26;UK;NA
George Roderick;Actor;1913;UK;1976-03-10
Valerie Stanton;Actress;NA;NA;NA
Neil Wilson;Actor;1916-06-24;UK;1975-01-24
Fred Wood;Actor;NA;NA;NA
Kwok-Pong Chan;Actor;NA;NA;NA
Ellen Chan;Actress;1966-02-16;China;NA
Ben Ng;Actor;NA;NA;NA
Bobbie Au-Yeung;Actor;1960-07-28;China;NA
Gwan Chin;Actress;NA;NA;NA
Lily Chung;Actress;1964-02-04;Malaysia;NA
Woon Ling Hau;Actress;1922;NA;NA
Julie Lee;Actress, Director, Writer;1956;Hong Kong;NA
Ta Lei;Actor;NA;NA;NA
Meng Lo;Actor, Camera Department, Production Manager;1952-08-04;Hong Kong;NA
Shui Ting Ng;Actor, Art Director;NA;NA;NA
Elvis Tsui;Actor;1960-10-10;China;NA
Bobby Yip;Actor;NA;NA;NA
King-Tan Yuen;Actress;NA;NA;NA
Scott Bakula;Actor, Producer, Soundtrack;1954-10-09;USA;NA
Annabella Sciorra;Actress, Producer;1960-03-29;USA;NA
George Dzundza;Actor, Assistant Director, Soundtrack;1945-07-19;Germany;NA
Edward Asner;Actor, Soundtrack, Producer;1929-11-15;USA;NA
Jack Blessing;Actor, Miscellaneous Crew;1951-07-29;USA;NA
Erin Cressida Wilson;Writer, Actress, Producer;1964-02-12;USA;NA
Cait Gentile;Actress;NA;NA;NA
