"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Beatriz Savón;Actress;NA;NA;NA
Anne Libert;Actress;1946-07-21;NA;NA
Fernando Bilbao;Actor, Production Manager;NA;NA;NA
Britt Nichols;Actress;NA;Portugal;NA
Luis Barboo;Actor;1927-03-20;Spain;2001-09-30
Daniel White;Composer, Music Department, Actor;1912-05-22;France;1997-05-24
Doris Thomas;Actress;NA;NA;NA
Lina Romay;Actress, Assistant Director, Editorial Department;1954-06-25;Spain;2012-02-15
Jesús Franco;Writer, Director, Actor;1930-05-12;Spain;2013-04-02
Eduardo Calvo;Actor, Writer, Miscellaneous Crew;1918-03-26;Spain;1992-08-13
Eduarda Pimenta;Actress;NA;NA;NA
David Heavener;Actor, Producer, Writer;1958-12-22;USA;NA
Amanda Bauman;Actress, Miscellaneous Crew;NA;NA;NA
Joe Estevez;Actor, Producer, Director;1946-02-13;USA;NA
Todd Bridges;Actor, Producer, Director;1965-05-27;USA;NA
Steven Bracy;Actor;NA;NA;NA
Carrie Gonzalez;Actress;NA;NA;NA
Robert Bustamante;Actor;NA;NA;NA
Alfredo Hernandez;Actor;NA;NA;NA
Andrew Crandall;Editor, Actor, Cinematographer;NA;NA;NA
Lauren Aguas;Actress;NA;NA;NA
Robert Aceves;Producer, Actor;NA;NA;NA
Elizabeth Webster;Actress;NA;NA;NA
Victoria Libertie;Actress;NA;NA;NA
Ardena Francis;Actress;NA;NA;NA
Maui Vang;Actress;NA;NA;NA
Heather Marie Marsden;Actress, Soundtrack, Producer;NA;NA;NA
Frank Zagarino;Actor, Producer, Director;1959-12-19;USA;NA
Lorenzo Lamas;Actor, Producer, Director;1958-01-20;USA;NA
Mark Mortimer;Actor;1967-04-15;USA;NA
John Colton;Actor;NA;NA;NA
Jennifer MacIsaac;Actress;NA;NA;NA
Chad Restum;Actor, Assistant Director;NA;NA;NA
Dan Southworth;Actor, Stunts, Writer;1974-09-02;NA;NA
Ralph J. Ciaravino;Actor;NA;NA;NA
Jesse Sharp;Actor, Miscellaneous Crew;NA;NA;NA
Soon Hee Newbold;Sound Department, Actress, Producer;1974-11-11;Korea;NA
Kyle Rikert;Actor, Art Department, Sound Department;NA;NA;NA
Adewole Lipede;Actor, Miscellaneous Crew;1977-12-12;USA;NA
Mitch Gould;Stunts, Actor, Writer;NA;NA;NA
Garret Sato;Actor, Stunts;1964-11-07;USA;NA
Ricardo Ayala;Assistant Director, Actor, Camera Department;1975-01-03;NA;NA
Wade Rikert;Special Effects, Actor, Make Up Department;1976-08-21;USA;NA
Michael Worth;Actor, Writer, Producer;1965-01-13;USA;NA
Luciana Littizzetto;Actress, Writer;1964-10-29;Italy;NA
Rocco Papaleo;Actor, Writer, Director;1958-08-16;Italy;NA
Pietro Castellitto;Actor;NA;NA;NA
Michela Cescon;Actress, Director;1971-04-13;Italy;NA
Antonino Bruschetta;Actor, Writer, Director;1962-01-06;Italy;NA
Gisella Burinato;Actress;NA;Italy;NA
Fausto Maria Sciarappa;Actor;NA;NA;NA
Cristina Odasso;Actress;NA;NA;NA
Valeria Milillo;Actress;1966;Italy;NA
Alice Torriani;Actress;NA;NA;NA
Christian Burruano;Actor;NA;NA;NA
Giovanni Esposito;Actor;1970-06-14;Italy;NA
Tatiana Lepore;Actress;1973-10-28;Germany;NA
Paul Naschy;Actor, Writer, Director;1934-09-06;Spain;2009-11-30
Shirley Corrigan;Actress;NA;NA;NA
Jack Taylor;Actor, Writer, Art Director;1936-10-21;USA;NA
Mirta Miller;Actress;1948-08-16;Argentina;NA
José Marco;Actor;1925;Spain;NA
Luis Induni;Actor;1920-03-05;Italy;1979-12-31
Barta Barri;Actor;1911-08-16;Austria-Hungary (now Hungary);2003-12-07
Luis Gaspar;Actor, Writer, Production Manager;NA;Spain;NA
Elsa Zabala;Actress;NA;NA;NA
Lucy Tiller;Actress;NA;NA;NA
Jorge Vico;Actor;1933-11-07;Spain;1977-09-22
Adolfo Thous;Actor;NA;NA;NA
Marisol Delgado;Actress;NA;NA;NA
Montserrat Julió;Actress, Writer, Director;1929;Spain;NA
Simón Ramírez;Actor, Miscellaneous Crew, Sound Department;NA;Spain;1997
Heinrich Starhemberg;Actor, Producer, Assistant Director;1934-10-04;Switzerland;1997-01-30
María Luisa Tovar;Actress;NA;NA;NA
Miki Mizuno;Actress;1974-06-28;Japan;NA
Rei Fujita;Actor;NA;NA;NA
Mitsuki Koga;Actor, Producer;NA;NA;NA
Masahiro Kômoto;Actor;1965-06-26;Japan;NA
Nao Nagasawa;Actress, Producer;1984-01-05;Japan;NA
Kazuki Tsujimoto;Actor, Stunts, Miscellaneous Crew;NA;NA;NA
Chiezo Kataoka;Actor;1903-03-20;Japan;1983-03-31
Ryunosuke Tsukigata;Actor;1902-03-18;Japan;1970-08-30
Chizuru Kitagawa;Actress;NA;NA;NA
Yuriko Tashiro;Actress;NA;NA;NA
Daisuke Katô;Actor, Writer, Soundtrack;1910-02-18;Japan;1975-07-31
Eitarô Shindô;Actor;1899-11-10;Japan;1977-02-18
Toranosuke Ogawa;Actor;1915-02-25;North Korea;1967-12-29
Kyôji Sugi;Actor, Soundtrack;1903-07-08;Japan;1975-09-01
Yoshio Yoshida;Actor;1911-01-03;Japan;1986-12-22
Harue Akagi;Actress;1924-03-14;Japan(Now China);NA
Ryutarô Aoyagi;Actor;NA;NA;NA
Koji Arima;Actor;NA;NA;NA
Mitsuo Asano;Actor;NA;NA;NA
Tominosuke Hayama;Actor;NA;NA;NA
Hideo Higashi;Actor;NA;NA;NA
Fujiya Ishimaru;Actor;NA;NA;NA
Kunio Kaga;Actor;NA;NA;NA
Eijirô Kataoka;Actor;NA;NA;NA
Masao Katô;Actor;NA;NA;NA
Michikazu Kawamura;Actor;NA;NA;NA
Osamu Koganei;Actor;NA;NA;NA
Kenji Minamihon;Actor;NA;NA;NA
Masao Oda;Actor;1908-01-06;Japan;1973-08-30
Kajô Onoe;Actor;1898-08-31;Japan;1969-03-03
Hideo Shimada;Actor;NA;NA;NA
Kinnosuke Takamatsu;Actor;NA;NA;NA
Kazuo Tokita;Actor;NA;NA;NA
Chie Ueki;Actress;NA;NA;NA
Motoharu Ueki;Actor;NA;NA;NA
Hachiro Yamauchi;Actor;NA;NA;NA
Sicheng Chen;Actor;NA;NA;NA
Jiajia Deng;Actress;NA;NA;NA
Aaron Kwok;Actor, Soundtrack, Music Department;1965-10-26;China;NA
Hongjie Ni;Actress;1978-06-09;China;NA
Honglei Sun;Actor;1970-08-16;China;NA
Liya Tong;Actress;NA;NA;NA
Nan Yu;Actress;1978-09-05;China;NA
Lixin Zhao;Actor;NA;NA;NA
Weitong Zhou;Actress;NA;NA;NA
Michael Paré;Actor, Miscellaneous Crew, Producer;1958-10-09;USA;NA
Claudette Mink;Actress;1971-04-04;Canada;NA
Jan-Michael Vincent;Actor, Producer;1944-07-15;USA;NA
Billy Drago;Actor, Producer, Writer;1945-11-30;USA;NA
Juliano Mer-Khamis;Actor, Director, Writer;1958-05-29;Israel;2011-04-04
Alon Aboutboul;Actor, Director, Soundtrack;1965-05-28;Israel;NA
Galit Giat;Actress, Soundtrack;1971-10-03;Israel;NA
John Phillips;Actor;NA;NA;NA
Gabi Amrani;Actor;NA;NA;NA
Dean Bloch;Actor;NA;NA;NA
Jack Whitaker;Actor;1924-05-18;NA;NA
Jack Adalist;Actor, Producer;NA;NA;NA
Steve Greenstein;Actor;NA;NA;NA
Jack Messinger;Casting Director, Actor, Soundtrack;NA;NA;NA
Uri Gavriel;Actor;1955-04-03;Israel;NA
Shalom Kenan;Actor;NA;NA;NA
Yehuda Efroni;Actor;NA;NA;NA
Menahem Einy;Actor;1949;Israel;2002-12-03
Michael Greenspan;Director, Actor, Miscellaneous Crew;NA;NA;NA
Menahem Golan;Producer, Director, Writer;1929-05-31;Palestine (now Israel);2014-08-08
Isa Alkalai;Actor;NA;NA;NA
Hilde Levin;Actress;NA;NA;NA
Avraham Bar-Orion;Actor;NA;NA;NA
Meira Pinhassi;Actress;NA;NA;NA
Tzvia Silverberg;Assistant Director, Actress;NA;NA;NA
Niksa Kuselj;Actor;1971-10-15;Yugoslavia (now Croatia);NA
Zrinka Cvitesic;Actress, Writer;1979-07-18;Yugoslavia;NA
Goran Grgic;Actor;1965-11-17;Yugoslavia;NA
Danko Ljustina;Actor;1952-02-24;Yugoslavia;NA
Mladen Vulic;Actor;1969-09-01;Yugoslavia [now Croatia];NA
Dejan Acimovic;Actor, Director, Producer;1963-05-20;Bosnia and Herzegovina);NA
Miro Barnjak;Actor, Producer, Writer;NA;NA;NA
Dragan Despot;Actor;1956-07-14;Yugoslavia;NA
Mirsad Elezi;Actor;1966;Yugoslavia;NA
Nada Gacesic;Actress;1951-10-08;Croatia/Hrvatska;NA
Gordana Gadzic;Actress;1955-08-21;Yugoslavia;NA
Dinka Grubisic;Actress;NA;NA;NA
Mate Gulin;Actor;1942-06-29;NA;NA
Hana Hegedusic;Actress;1976-01-29;Yugoslavia;NA
Nikola Ivkovic;Actor;NA;NA;NA
Zarko Ivkovic;Miscellaneous Crew, Actor, Production Manager;NA;NA;NA
Armin Jazvin;Actor;NA;NA;NA
Niko Kovac;Actor;1947;NA;2009-10-11
Petar Leventic;Actor;1978-10-16;Yugoslavia [now Bosnia and Hercegovina];NA
Edvin Liveric;Actor;1970-11-20;Yugoslavia [now Croatia];NA
Sreten Mokrovic;Actor;1957;Yugoslavia [now Croatia];NA
Filip Nola;Actor;1967-12-29;Yugoslavia;NA
Bozidar Oreskovic;Actor;1942-08-21;Croatia;2010-07-10
Galiano Pahor;Actor;1955-10-17;Yugoslavia;2008-01-05
Borko Peric;Actor, Director;1981-01-22;Croatia];NA
Zijah Sokolovic;Actor, Writer;1950-12-22;Yugoslavia;NA
Vesna Tominac;Actress, Miscellaneous Crew;1968-10-25;Yugoslavia [now Croatia];NA
Marko Torjanac;Actor;1967;Yugoslavia;NA
Amber An;Actress;NA;NA;NA
Baihe Bai;Actress, Soundtrack;NA;NA;NA
Hsiao-chuan Chang;Actor;1983-12-28;Taiwan;NA
Christine Fan;Actress;NA;NA;NA
Ken Lin;Actor, Soundtrack, Stunts;NA;NA;NA
Queenie Tai;Actress;NA;NA;NA
Kwan-Ho Tse;Actor;1963-03-23;China;NA
Behrouz Vossoughi;Actor;1937;Iran;NA
Googoosh;Actress, Music Department;1949-05-07;Iran;NA
Hamideh Kheirabadi;Actress;1924-12-20;Iran;2010-04-19
Nematollah Gorji;Actor;1926;Iran;NA
Reza Karam Rezai;Actor;NA;NA;2010-04-03
Asghar Semsarzade;Actor;NA;NA;NA
Garshasb Raoufi;Actor;1933;Iran;2007-12-08
Fahimeh Amouzandeh;Actress;NA;NA;NA
Farhad Hamidi;Actor, Producer;NA;NA;NA
Malihe Nasiri;Actress;1931;Persia;2006-03-10
Hossein Shahab;Actor;NA;NA;NA
Zabihollah Zabihpoor;Actor;NA;NA;NA
He Huang;Actor;NA;NA;NA
Yiqing Li;Actor;NA;NA;NA
Yuan Tian;Actress, Soundtrack, Director;1985-03-30;China;NA
Youcai Wu;Actor;NA;NA;NA
Stephen Baldwin;Actor, Producer, Director;1966-05-12;USA;NA
Bettina Zimmermann;Actress;1975-03-31;Germany;NA
Thomas Heinze;Actor, Producer;1964-03-30;Germany;NA
Matthias Dietrich;Actor;1981-05-18;Germany;NA
Kostas Sommer;Actor, Producer;1975-05-17;Germany;NA
John Friedmann;Actor, Writer, Producer;1971-08-16;Germany;NA
Axel Wedekind;Actor, Producer;1975-01-07;Germany;NA
Sanjay Shihora;Actor;NA;NA;NA
Vivian Viehof;Actress;NA;NA;NA
Nina Kristin;Actress;1982-04-30;Germany;NA
Ben Posener;Actor;NA;NA;NA
Tom Strauss;Actor;NA;NA;NA
Clayton Nemrow;Actor, Miscellaneous Crew;1965-12-15;USA;NA
Alex Tondowski;Actor, Producer;NA;NA;NA
Ron Matz;Actor;1961-05-29;Germany;NA
Christian Blietz;Actor;1958;NA;NA
Joe Mantegna;Actor, Producer, Director;1947-11-13;USA;NA
Peter Coyote;Actor, Miscellaneous Crew, Director;1941-10-10;USA;NA
Mercedes Ruehl;Actress, Soundtrack;1948-02-28;USA;NA
Debi Mazar;Actress, Make Up Department;1964-08-13;USA;NA
Paul Hipp;Actor, Soundtrack, Director;1963-07-16;USA;NA
D.B. Woodside;Actor, Director, Writer;1969-07-25;USA;NA
Glenn Shadix;Actor, Soundtrack, Writer;1952-04-15;USA;2010-09-07
Ajay Naidu;Actor, Director, Writer;1972-02-12;USA;NA
Chaim Girafi;Actor;NA;NA;NA
Louise Fletcher;Actress;1934-07-22;USA;NA
Whoopi Goldberg;Actress, Producer, Writer;1955-11-13;USA;NA
Pat Healy;Actor, Writer, Director;1971-09-14;USA;NA
Michael Maize;Actor, Producer, Writer;1974-12-01;USA;NA
Andrew Steel;Actor;NA;NA;NA
Kevin Weisman;Actor, Producer;1970-12-29;USA;NA
Robin Thomas Grossman;Actor, Miscellaneous Crew;1949-02-12;USA;NA
Eddie Kaye Thomas;Actor, Writer, Soundtrack;1980-10-31;USA;NA
Mik Scriba;Actor, Producer;NA;NA;NA
Piotr Adamczyk;Actor, Producer;1972-03-21;Poland;NA
Marian Dziedziel;Actor;1947-08-05;Poland;NA
Andrzej Chyra;Actor;1964-08-27;Poland;NA
Jerzy Trela;Actor;1942-03-14;Poland;NA
Karolina Gruszka;Actress;1980-07-13;Poland;NA
Robert Wieckiewicz;Actor, Soundtrack;1967-06-30;Poland;NA
Lukasz Simlat;Actor;1977-12-11;Poland;NA
Bartlomiej Topa;Actor, Producer;1967-05-26;Poland;NA
Agnieszka Warchulska;Actress;1972-05-15;Poland;NA
Eryk Lubos;Actor;1974-09-06;Poland;NA
Grazyna Szapolowska;Actress;1953-09-19;Poland;NA
Jacek Rozenek;Actor;1969-03-31;Poland;NA
Ewa Dalkowska;Actress;1947-04-10;Poland;NA
Redbad Klynstra;Actor, Casting Director;1969;Netherlands;NA
Adam Molak;Actor;1980-01-21;NA;NA
Marta Dabrowska;Actress, Costume Department;1984-10-19;Poland;NA
Henryk Talar;Actor;1945-06-25;Poland;NA
Ryszard Radwanski;Actor;NA;NA;NA
Joachim Lamza;Actor;1951-07-07;Poland;NA
Edward Zentara;Actor;1956-03-18;Poland;2011-05-25
Grzegorz Mitura;Actor;NA;NA;NA
Robert Wabich;Actor;1967-05-30;Poland;NA
Aleksander Mikolajczak;Actor;1953;Poland;NA
Michal Banach;Actor;1969-03-29;Poland;NA
Bogdan Chrabota;Actor;NA;NA;NA
John Weisgerber;Actor;NA;NA;NA
David Jasmin;Actor;NA;NA;NA
Phillip Goss;Actor, Producer, Miscellaneous Crew;NA;NA;NA
Piotr Pamula;Actor;1979-04-13;Poland;NA
Eric Stepniewski;Actor, Writer, Casting Director;NA;NA;NA
Gene Autry;Soundtrack, Actor, Producer;1907-09-29;USA;1998-10-02
Frankie Darro;Actor, Stunts, Soundtrack;1917-12-22;USA;1976-12-25
Betsy King Ross;Actress;1922-03-14;USA;1989-10-04
Dorothy Christy;Actress, Soundtrack;1906-05-26;USA;1977-05-21
Wheeler Oakman;Actor, Writer;1890-02-21;USA;1949-03-19
Charles K. French;Actor, Director, Writer;1860-01-17;USA;1952-08-02
Warner Richmond;Actor, Soundtrack;1886-01-11;USA;1948-06-19
J. Frank Glendon;Actor, Producer, Director;1885-10-25;USA;1937-03-17
Smiley Burnette;Actor, Soundtrack, Music Department;1911-03-18;USA;1967-02-16
Peter Potter;Actor;1905-04-14;USA;1983-04-17
Edward Peil Sr.;Actor;1883-01-18;USA;1958-12-29
Jack Carlyle;Actor;1880-03-11;UK;NA
Chuck Baldra;Actor, Soundtrack;1899-08-18;USA;1949-05-14
Harry Blaeholder;Actor;1899-02-14;USA;1960-04-22
Stanley Blystone;Actor;1894-08-01;USA;1956-07-16
Don Brodie;Actor, Miscellaneous Crew, Writer;1904-05-29;USA;2001-01-08
Bob Burns;Actor, Stunts;1884-11-21;USA;1957-03-14
Fred Burns;Actor, Writer;1878-04-24;USA;1955-07-18
Bob Card;Actor, Soundtrack;1887-05-04;USA;1970-04-07
Lane Chandler;Actor;1899-06-04;USA;1972-09-14
Tom Conway;Actor, Soundtrack;1904-09-15;Russia;1967-04-22
Rita Corday;Actress;1920-10-20;Tahiti;1992-11-23
Edward Brophy;Actor, Production Manager, Assistant Director;1895-02-27;USA;1960-05-27
Sharyn Moffett;Actress;1936-09-12;USA;NA
Fay Helm;Actress;1909-04-09;USA;2003-09-27
Robert Armstrong;Actor, Soundtrack;1890-11-20;USA;1973-04-20
Carl Kent;Actor;1918-01-28;USA;NA
George Holmes;Actor;1918-11-25;USA;1985-02-19
John Mylong;Actor, Writer;1892-09-27;Austria-Hungary (now Austria);1975-09-08
Dorothy Adams;Actress;1900-01-08;USA;1988-03-16
Joan Beckstead;Actress;NA;NA;NA
Sammy Blum;Actor, Miscellaneous Crew;1889-05-25;USA;1945-06-01
Kernan Cripps;Actor;1886-07-08;USA;1953-08-12
Russell Custer;Actor, Miscellaneous Crew;1899-07-02;USA;1985-05-23
Myrna Dell;Actress, Soundtrack;1924-03-05;USA;2011-02-11
Ralph Dunn;Actor, Miscellaneous Crew;1900-05-23;USA;1968-02-19
Margaret Farrell;Actress;NA;NA;NA
Jack Gargan;Actor, Miscellaneous Crew;1900-02-08;UK;1958-09-30
Luisito Marti;Actor, Producer, Writer;1945-01-01;Dominican Republic;2010-01-03
Caridad Ravelo;Actress;NA;NA;NA
Raúl Carbonell;Actor;NA;NA;NA
Rafael Villalona;Actor, Director, Writer;1942;Dominican Republic;2012-08-03
Joel Garcia;Actor;NA;NA;NA
Alfonso Zayas;Actor, Producer, Director;1941;Mexico;NA
Bersaida Vega;Actress;NA;NA;NA
Rosalba Rolon;Actress;NA;NA;NA
Manny Gironny;Actor;NA;NA;NA
Ledesma;Actor;NA;NA;NA
Rafael Decena;Actor;NA;NA;NA
Graciela Mas;Actress;NA;NA;NA
Carlota Carretero;Actress, Producer;1963-04-05;Dominican Republic;NA
Fermín Suárez;Actor;NA;NA;NA
Rosmery 'Boquita' Almonte;Actress;NA;Dominican Republic;NA
Rina Mejia;Actress;NA;NA;NA
Gabriel Arcand;Actor, Writer, Composer;1949-06-04;Canada;NA
Sylvie Moreau;Actress, Writer;1964-12-30;NA;NA
Hélene Loiselle;Actress;1928-03-17;Canada;2013-08-08
Sarah Lecomte-Bergeron;Actress;NA;NA;NA
Ghislain Taschereau;Actor, Director;1962-12-19;NA;NA
Pierre Collin;Actor;1938-07-18;Canada;NA
Roger Léger;Actor, Soundtrack;1948-05-01;NA;NA
Vittorio Rossi;Actor, Writer;1961;NA;NA
Pierre Legris;Actor;1941-07-29;NA;NA
François Papineau;Actor, Writer, Stunts;1966;Canada;NA
Réal Bossé;Actor, Writer;NA;NA;NA
Jean-Guy Bouchard;Actor;NA;NA;NA
Gaston Caron;Actor;NA;NA;NA
Henri Chassé;Actor;NA;NA;NA
Yves Bélanger;Cinematographer, Actor, Camera Department;1960-07-07;Canada;NA
Michele Juneau;Actress;NA;NA;2000-12-31
Frank Martel;Actor;NA;NA;NA
Stefan Perrault;Actor;1969-05-26;NA;NA
Jean Chouinard;Actor;NA;NA;NA
Sylvain Rocheleau;Actor, Miscellaneous Crew;NA;NA;NA
Marcel Pomerlo;Actor;NA;NA;NA
Stéphane Cheynis;Actor;NA;NA;NA
Donald Gagnon;Actor;NA;NA;NA
Fernand Brousseau;Actor;NA;NA;NA
Allyson Daugherty;Actress, Miscellaneous Crew;1978-06-06;USA;NA
Steve Nave;Actor, Casting Director, Casting Department;NA;NA;NA
Georgina Verbaan;Actress, Soundtrack, Writer;1979-10-09;Netherlands;NA
Peter Paul Muller;Actor, Director;1965-05-30;Netherlands;NA
Jack Wouterse;Actor, Director;1957-06-17;Netherlands;NA
Axel Daeseleire;Actor;1968-10-26;Belgium;NA
Peter Van den Begin;Actor, Writer;1964-10-25;Belgium;NA
Sven De Ridder;Actor;1974-07-17;Belgium;NA
Mathijs Scheepers;Actor, Sound Department;NA;NA;NA
Manou Kersting;Actor;1962;NA;NA
Eva Laurenssen;Actress;NA;NA;NA
Reinhilde Decleir;Actress;1948-05-16;NA;NA
Stockard Channing;Actress, Soundtrack, Miscellaneous Crew;1944-02-13;USA;NA
Jennifer Tilly;Actress, Soundtrack, Writer;1958-09-16;USA;NA
Scott Glenn;Actor, Producer, Stunts;1941-01-26;USA;NA
Stuart Wilson;Actor, Soundtrack;1946-12-25;UK;NA
Chris Sarandon;Actor, Producer, Soundtrack;1942-07-24;USA;NA
Michael O'Keefe;Actor, Director, Soundtrack;1955-04-24;USA;NA
Michael McKean;Actor, Soundtrack, Director;1947-10-17;USA;NA
Randy Travis;Actor, Soundtrack, Composer;1959-05-04;USA;NA
Joanna Gleason;Actress, Soundtrack, Director;1950-06-02;Canada;NA
Beverly D'Angelo;Actress, Soundtrack, Producer;1951-11-15;USA;NA
Martin Mull;Actor, Miscellaneous Crew, Writer;1943-08-18;USA;NA
Louise Fletcher;Actress;1934-07-22;USA;NA
Wendy Mull;Actress, Composer, Music Department;1949-08-09;USA;NA
Carol Ann Susi;Actress, Miscellaneous Crew;1952-02-02;USA;2014-11-11
Missy Hargraves;Actress;NA;NA;NA
Jean Smart;Actress, Soundtrack, Producer;1951-09-13;USA;NA
Joaquim de Almeida;Actor;1957-03-15;Portugal;NA
Vanessa Mesquita;Actress;1974-05-19;Brazil;NA
Filipe Duarte;Actor;1973-06-05;Portugal (now Angola);NA
Ivo Canelas;Actor, Cinematographer;1973-12-23;Portugal;NA
Miguel Borges;Actor;1966-09-07;Portugal;NA
Margarida Marinho;Actress, Make Up Department;1963-01-27;Portugal;NA
Cristina Cunha;Actress;1971;Portugal;NA
Joao Lagarto;Actor;1954-10-05;Portugal;NA
Almeno Gonçalves;Actor, Miscellaneous Crew;1959-10-17;Portugal;NA
Ines Costa;Actress;1993-07-17;Portugal;NA
Orlando Costa;Actor, Composer, Production Designer;1948-12-24;Portugal;NA
Sandra Cóias;Actress;1972-08-25;Portugal;NA
Durval Lucena;Writer, Miscellaneous Crew, Actor;NA;NA;NA
Fernando Lupach;Assistant Director, Actor;1968-07-06;NA;NA
Raquel Maria;Actress;1946-05-18;Portugal;2006-07-26
António Melo;Actor, Miscellaneous Crew;1963;NA;NA
Miguel Melo;Actor;1966-09-25;Portugal;NA
Joaquim Nicolau;Actor, Miscellaneous Crew;1964;Portugal;NA
Joao Maria Pinto;Actor;1946;Portugal;NA
Sofia Reis;Actress, Producer, Writer;1974-09-22;Portugal;NA
Viktor Bodó;Actor, Director, Writer;NA;NA;NA
Kata Peto;Actress;1979-10-27;Hungary;NA
Hanns Zischler;Actor, Director, Writer;1947-06-18;Germany;NA
Artur Szocs;Actor;NA;NA;NA
Enikö Eszenyi;Actress;1961-01-11;Hungary;NA
Gábor Máté;Actor, Director;1955-04-29;Hungary;NA
Roopak Saluja;Actor, Producer;NA;NA;NA
Vilmos Vajdai;Actor, Music Department, Composer;1962-06-18;Hungary;NA
Béla Mészáros;Actor;1979-08-29;NA;NA
Tilo Werner;Actor;1969;Germany;NA
Ervin Nagy;Actor;1976-09-25;Hungary;NA
Dorka Gryllus;Actress;1972-12-26;Hungary;NA
Dorina Martinovics;Actress;1981-11-12;Hungary;NA
Gergely Kovács;Actor, Assistant Director;NA;NA;NA
József Gyabronka;Actor;1953-05-14;Hungary;NA
András Schlanger;Actor;1961-02-10;Hungary;NA
Zoltán Mucsi;Actor;1957-09-08;Hungary;NA
Diego Capusotto;Actor, Writer, Director;1961-09-21;Argentina;NA
Luis Luque;Actor;1956;NA;NA
Verónica Llinás;Actress, Director, Writer;1960-09-23;Argentina;NA
Alejandra Flechner;Actress, Writer;NA;NA;NA
Damián Dreizik;Actor, Writer;NA;NA;NA
Vanessa Weinberg;Actress;NA;NA;NA
Juan Carlos Mesa;Writer, Actor, Casting Director;NA;NA;NA
Osky Guzmán;Actor;NA;NA;NA
Tahiel Arevalo;Actor;NA;NA;NA
Lola Berthet;Actress, Soundtrack, Producer;1977-10-04;Argentina;NA
Atilio Pozzobon;Actor;NA;NA;NA
Claudia Puyó;Soundtrack, Actress;NA;NA;NA
Miguel Cantilo;Soundtrack, Actor, Music Department;NA;NA;NA
Norberto Verea;Actor;NA;NA;NA
Miguel Zabaleta;Actor, Composer;NA;NA;NA
Adolfo Sánchez;Actor;NA;NA;NA
Jacquie Decibe;Actress;NA;NA;NA
Sonia Boll;Actress;NA;NA;NA
Eduardo Calvo;Actor;NA;NA;NA
Antonio Cafiero;Actor;1922-09-12;Argentina;2014-10-13
Víctor Hugo Morales;Actor;1948;Uruguay;NA
José Ferrer;Actor, Soundtrack, Director;1912-01-08;Puerto Rico;1992-01-26
Shelley Winters;Actress, Soundtrack, Producer;1920-08-18;USA;2006-01-14
Elaine May;Actress, Writer, Director;1932-04-21;USA;NA
Jack Gilford;Actor, Soundtrack, Writer;1908-07-25;USA;1990-06-02
Janet Margolin;Actress;1943-07-25;USA;1993-12-17
David Opatoshu;Actor, Writer;1918-01-30;USA;1996-04-30
Michael J. Pollard;Actor, Soundtrack;1939-05-30;USA;NA
Don Rickles;Actor, Soundtrack;1926-05-08;USA;NA
Richard Deacon;Actor, Soundtrack;1921-05-14;USA;1984-08-08
Nancy Kovack;Actress;1935-03-11;USA;NA
Reni Santoni;Actor, Sound Department, Miscellaneous Crew;1939-04-21;USA;NA
Herbie Faye;Actor;1899-02-02;USA;1980-06-28
Rob Reiner;Actor, Writer, Producer;1947-03-06;USA;NA
Danny Stein;Actor;NA;NA;NA
Milton Frome;Actor, Soundtrack;1909-02-24;USA;1989-03-21
Lillian Adams;Actress;1922-05-13;USA;2011-05-25
Mantan Moreland;Actor, Soundtrack;1902-09-03;USA;1973-09-28
Patrick Campbell;Actor;1924-07-13;USA;2003-05-30
Peter Brocco;Actor;1903-01-16;USA;1992-12-20
Phil Arnold;Actor, Miscellaneous Crew;1909-09-15;USA;1968-05-09
Ralph Montgomery;Actor;1911-07-04;USA;1980-05-10
Arthur Tovey;Actor, Miscellaneous Crew;1904-11-14;USA;2000-10-20
John Bell Young;Actor, Soundtrack;NA;USA;NA
Gyözö Szabó;Actor;1970-07-07;Hungary;NA
Tibor Gáspár;Actor;1957-09-02;Hungary;NA
Lehel Kovács;Actor, Soundtrack;1982-10-06;Hungary;NA
Zsolt Huszár;Actor;1971-07-12;Hungary;2011-09-17
Eszter Nagy-Kálózy;Actress;1966-01-25;Hungary;NA
Kata Gáspár;Actress;1987-10-27;Hungary;NA
Éva Botos;Actress;1974-06-01;NA;NA
Eszter Várkonyi;Actress;NA;NA;NA
Zsolt Nagy;Actor;1976;NA;NA
Eszter Földes;Actress;NA;NA;NA
Vince Zrínyi Gál;Actor;NA;NA;NA
Béla Stubnya;Actor;1962-11-22;Hungary;NA
Kati Andai;Actress;1948-05-01;Hungary;NA
Júlia Zeck;Actress;1982-09-14;Hungary;NA
András Réthelyi;Actor, Director, Writer;1976-01-27;Hungary;NA
Bea Lass;Actress;1982-10-21;Hungary;NA
Peter Linka;Actor, Miscellaneous Crew, Music Department;1962-02-07;Australia;NA
András Kovács M.;Writer, Actor, Director;1976-06-12;Hungary;NA
Norbert Köbli;Writer, Actor, Miscellaneous Crew;1977-12-03;Hungary;NA
Laska Pál;Actor, Writer, Producer;1979-06-22;Hungary;NA
Frank Rizzo;Art Department, Miscellaneous Crew, Writer;1975-02-15;Hungary;NA
Candice Rialson;Actress;1951-12-18;USA;2006-03-31
Larry Gelman;Actor, Soundtrack;1930-11-03;USA;NA
Jane Kean;Actress, Soundtrack;1923-04-10;USA;2013-11-26
Perry Bullington;Casting Director, Casting Department, Actor;1947;USA;2012-12-19
